canc_flag,gender,federal_state,region_type (Locality),qu_avg_liv_area,serv_revenue_avg,revenue_avg,discount_avg,serv_revenue_std,revenue_std,discount_std,device_type,months_since_act,stars,remaining_months,mon_since_con_start,mon_since_last_subsi,mon_til_next_subsi,voice_min_wireline_avg,voice_min_onnet_avg,voice_min_offnet_avg,data_vol_total_avg,voice_min_onnet_std,voice_min_offnet_std,data_vol_total_std,tot_nbr_calls,avg_days_of_usage_avg
1,0,10,4,3.0625,-3.3241,16.6633,-0.113,0,0,0,3,4,0,21,4,7,-3,5.4725,16.6575,21.94,0.4508,10.6722,15.1025,0.17135,26,3.0069
0,1,4,3,2.9705,19.7009,23.9634,-4.2625,1.8827,1.9433,0.0923,3,19,1,6,19,7,6,5.6129,0,9.59,0.2305,0,7.1496,0.0844,14,3.0069
1,0,6,3,2.9705,34.306,53.4502,-9.5403,1.5345,1.3259,0.0923,1,7,3,18,7,7,18,9.56285,15.78285,12.2814,0.41025,11.2312,10.257249,0.17135,26,3.0069
0,1,6,4,2.4,8.6277,8.6277,0,0.0585,0.0585,0,3,142,1,3,15,16,6,0,3.1657,0.11,0,5.487,0.2694,0,1,3.0069
0,1,6,3,2.5688,34.9832,38.5984,-3.6152,1.5345,1.3259,0.0923,0,154,3,17,8,8,17,17.1314,10.9186,12.2814,0.2873,5.3022,10.257249,0.2157,9,10.6616
1,0,6,3,3.6264,2.0898,4.2003,-2.1105,1.9261,1.3259,0.0923,3,28,0,21,4,8,-3,17.1314,10.9186,12.2814,0.2873,5.3022,10.257249,0.2157,9,10.6616
0,0,6,4,2.3895,2.0898,4.2003,-2.1105,1.9261,1.3259,0.0923,0,2,0,23,2,2,23,9.56285,9.395,12.2814,0.41025,2.505,10.257249,0.17135,26,3.125
0,0,6,2,3.5248,57.7369,61.9386,0,0.9165,0.9165,0,0,36,3,13,12,15,13,9.56285,15.78285,12.2814,0.41025,11.2312,10.257249,0.17135,45,3.125
0,1,7,2,3.5248,57.7369,61.9386,0,0.9165,0.9165,0,1,2,3,23,2,2,23,1.15,7.745,12.2814,0.41025,1.055,10.257249,0.17135,38,3.125
0,0,9,3,3.078,52.9213,79.8518,-26.9305,1.5345,1.3259,0.0923,0,195,3,18,7,11,18,9.56285,15.78285,12.2814,0.41025,11.2312,10.257249,0.17135,26,7.9202
0,0,1,3,3.1383,33.0099,37.136,-4.1261,1.5345,1.3259,0.0881,3,10,3,21,4,10,15,9.56285,15.78285,12.2814,0.41025,11.2312,10.257249,0.17135,26,7.9202
0,1,8,2,3,8.6128,11.1701,-2.5573,0.1997,0.2528,0.0551,3,27,1,10,27,10,6,4.5514,7.4114,1.1029,0.1187,9.3852,1.8684,0.037,21,7.9202
0,1,6,4,2.9932,8.3614,8.3614,0,0,0,0,3,121,1,12,15,16,6,0,0.0714,0,0,0.175,0,0,21,7.9202
